,ID,Tweet Text,Human_Rating,Google_Rating
1,1,It's almost as if people are exactly who they say they are https://t.co/MnWFXZd9c3,0,0
2,2,"@Slate Conservative media: Yes, Trump's response to Charlottesville was bad, but what about Obama? https://t.co/jjINXL5Qp0 via @slate",0,0
3,3,👀 https://t.co/qeyzYeblwu,0,0
4,4,😂 😂 😂 Karma really isn't wasting time.. https://t.co/JYRqf6vlSX,-1,-1
5,5,"After Charlottesville, Black Lives Matter Issues New Demand - https://t.co/Vuw3IvrhL2",0,0
6,6,@seanhannity @JaySekulow @GreggJarrett https://t.co/WHL01vNZKN,0,0
7,7,Charlottesville Victim Heather Heyer’s Family Asks Mourners to Wear Purple to Memorial Held… https://t.co/iAcW8vi59H,1,0
8,8,"""\""I like getting the facts\""\nThis is literally the first time he's been the least bit concerned about honesty and attention to detail https://t.co/3wyAHEzME1""",0,0
9,9,"Meet Trump's ""very fine people"" who only wanted to peacefully defend a statue in #Charlottesville https://t.co/9ycHbJjQoe",0,0
10,10,The president who wanted Barack Obama to name radical Islam should take his own advice and be forceful — @EWErickson https://t.co/AO4ROrGazw,0,0
11,11,"glad our ""very fine"" president is defending Nazi's and racists now tho https://t.co/RdA3Koalu3",-1,0
12,12,"Trump ve ""culpa de ambas partes"" en acto racista de Charlottesville https://t.co/pQYvsCDYPJ",0,0
13,13,"@matthewamiller Trump missed big opportunity here, he could have blamed Obama for Charlottesville, after all, he is black!",0,0
14,14,TFW Your dignity slowly backs out  of your body and behind a curtain. https://t.co/xlXx34QJvt,0,0
15,15,Watching President Trumps remarks on the recent activities on Charlottesville disgusts me.,-1,-1
16,16,"""God BLESS #Charlottesville mayor! He's taking leadership to acknowledge #HistoricRacism &amp; expose #CurrentRacism of #TRUMP! #ImpeachTrump https://t.co/vYgP5N0kyS""",1,0
17,17,"@CNNPolitics @Potus @realDonaldTrump YES they WERE!!!!! 
#Charlottesville",0,0
18,18,@PastorDScott at 9:20am tomorrow to talk about Charlottesville and the media's tripling down on the lies and chaos. https://t.co/20t4XKWvEI,-1,0
19,19,#Charlottesville is going to be broke financially real soon. Functionally Democrats are treating it like their Banana Republic already.,-1,-1
20,20,Absolutely unreal. https://t.co/qlxH9AR9w8,0,0
21,21,#Charlottesville #Shrek https://t.co/C5HifeSof4,0,0
22,22,This is straight from the WH talking points. https://t.co/m9PsFD9epL,0,0
23,23,"""Stand up! family! All you have to do is flip the dam script intellectually covertly ask them mutha fuckers you #Commonlaw or #AdmiraltyLaw https://t.co/GdUZZC9O7E""",0,0
24,24,"""Thank you @UnderArmour for having a moral backbone. Will be purchasing from you soon #Charlottesville #dotherightthing https://t.co/jtGPmKUrP2""",1,0
25,25,"""Hope @IvankaTrump's catching up on all the meditation she missed during the campaign. #Useless #OxygenThief https://t.co/R9etJgSgwQ https://t.co/I4QL0UjWZe""",-1,0
26,26,"@Some_BlackGuy Hey thats raci-
LEft: Hey , u want what happened to Charlottesville to happen again? https://t.co/SB3X7Ll3Qv",0,0
27,27,Charlottesville White Supremacist Rally - The Jim Jefferies Show https://t.co/uEPjsLsHtI via @YouTube,0,0
